total_moves,ai_moves,opponent_moves,avg_move_time,total_game_time,winner
8,4,4,0.24127960205078125,1.039999008178711,Opponent
7,3,4,0.24567604064941406,0.8069438934326172,Opponent
8,4,4,0.2411327362060547,1.0386450290679932,Opponent
7,3,4,0.22393671671549478,0.7414839267730713,Opponent
8,4,4,0.2231968641281128,0.9655129909515381,Opponent
7,3,4,0.2251733144124349,0.748725175857544,Opponent
8,4,4,0.23254871368408203,1.004828929901123,Opponent
7,3,4,0.6147403717041016,1.9325661659240723,Opponent
8,4,4,0.6549124121665955,2.7723262310028076,Opponent
7,3,4,0.806229829788208,2.584200859069824,Opponent
8,4,4,0.3944466710090637,1.6686558723449707,Opponent
7,3,4,0.2682890097300212,0.8794879913330078,Opponent
8,4,4,0.21959447860717773,0.9561758041381836,Opponent
7,3,4,0.24158223470052084,0.7962939739227295,Opponent
8,4,4,0.23095184564590454,1.0142099857330322,Opponent
7,3,4,0.2652902603149414,0.8659279346466064,Opponent
8,4,4,0.24601906538009644,1.0605871677398682,Opponent
7,3,4,0.22225125630696616,0.7364699840545654,Opponent
8,4,4,0.2527310252189636,1.0847129821777344,Opponent
7,3,4,0.24620350201924643,0.8141529560089111,Opponent
8,4,4,0.23379254341125488,1.010159969329834,Opponent
7,3,4,0.2558480103810628,0.8412117958068848,Opponent
8,4,4,0.3037770390510559,1.3060147762298584,Opponent
7,3,4,0.21776262919108072,0.7233829498291016,Opponent
8,4,4,0.21889585256576538,0.9490902423858643,Opponent
7,3,4,0.2476168473561605,0.8138899803161621,Opponent
8,4,4,0.221846342086792,0.9609909057617188,Opponent
7,3,4,0.29631725947062176,0.9584848880767822,Opponent
8,4,4,0.23604798316955566,1.0184671878814697,Opponent
7,3,4,0.22509471575419107,0.7445158958435059,Opponent
8,4,4,0.22614926099777222,0.9783878326416016,Opponent
7,3,4,0.21811405817667642,0.7238011360168457,Opponent
8,4,4,0.21932446956634521,0.9497091770172119,Opponent
7,3,4,0.2173940340677897,0.7216000556945801,Opponent
8,4,4,0.22631269693374634,0.9788417816162109,Opponent
7,3,4,0.22679567337036133,0.7514400482177734,Opponent
8,4,4,0.21905982494354248,0.9496209621429443,Opponent
7,3,4,0.22026467323303223,0.729884147644043,Opponent
8,4,4,0.25135689973831177,1.0782411098480225,Opponent
7,3,4,0.24324671427408853,0.808311939239502,Opponent
8,4,4,0.2464311718940735,1.0608620643615723,Opponent
7,3,4,0.2169323762257894,0.7201809883117676,Opponent
8,4,4,0.22396713495254517,0.9732341766357422,Opponent
7,3,4,0.21728825569152832,0.7211699485778809,Opponent
8,4,4,0.2216063141822815,0.9591457843780518,Opponent
7,3,4,0.21704363822937012,0.7207350730895996,Opponent
8,4,4,0.2201530933380127,0.9557819366455078,Opponent
7,3,4,0.2167054812113444,0.7219922542572021,Opponent
8,4,4,0.22443842887878418,0.970991849899292,Opponent
7,3,4,0.22219347953796387,0.7380518913269043,Opponent
