total_moves,ai_moves,opponent_moves,avg_move_time,total_game_time,winner
15,8,7,0.13550421595573425,1.0842320919036865,AI
18,9,9,0.1405335267384847,1.2650179862976074,AI
27,14,13,0.13992888586861746,1.9593970775604248,AI
32,16,16,0.1071992963552475,1.7155721187591553,AI
15,8,7,0.12233120203018188,0.9788210391998291,AI
24,12,12,0.12320661544799805,1.4787700176239014,AI
39,20,19,0.10495958328247071,2.0996949672698975,AI
9,4,5,0.13970112800598145,0.5589032173156738,Opponent
17,9,8,0.13062238693237305,1.1757886409759521,AI
16,8,8,0.13780105113983154,1.1025888919830322,AI
12,6,6,0.14264818032582602,0.8560230731964111,Opponent
28,14,14,0.1266787392752511,1.773888111114502,AI
21,11,10,0.1331789493560791,1.4652118682861328,AI
28,14,14,0.13091458593096053,1.8331148624420166,AI
21,11,10,0.1373023119839755,1.5105760097503662,AI
14,7,7,0.12903029578072683,0.903364896774292,AI
17,9,8,0.13524389266967773,1.2173879146575928,AI
18,9,9,0.13942376772562662,1.2550249099731445,AI
18,9,9,0.131562868754069,1.1842689514160156,Opponent
30,15,15,0.12123783429463704,1.8189501762390137,AI
25,13,12,0.14531166736896223,1.8893587589263916,AI
11,5,6,0.133919620513916,0.6697180271148682,Opponent
15,8,7,0.12826162576675415,1.0262608528137207,AI
18,9,9,0.12700014644198948,1.1432068347930908,AI
17,9,8,0.12440159585740831,1.11981201171875,AI
19,9,10,0.12504029273986816,1.1255779266357422,Opponent
25,13,12,0.11944350829491249,1.5530600547790527,AI
11,5,6,0.1684551239013672,0.8424057960510254,Opponent
17,9,8,0.13055811987982857,1.1752138137817383,AI
16,8,8,0.1481897532939911,1.185703992843628,AI
14,7,7,0.13042902946472168,0.913182258605957,Opponent
22,11,11,0.12069457227533514,1.3279001712799072,AI
19,10,9,0.1423647403717041,1.4238641262054443,AI
16,8,8,0.13491812348365784,1.079517126083374,AI
20,10,10,0.13200018405914307,1.3203129768371582,Opponent
26,13,13,0.12441099607027493,1.6176362037658691,AI
17,9,8,0.12526382340325248,1.1275620460510254,AI
15,7,8,0.1241020815713065,0.8688859939575195,Opponent
17,9,8,0.12387209468417698,1.1150360107421875,AI
16,8,8,0.1267128586769104,1.0138769149780273,AI
17,9,8,0.12458676762051052,1.121471881866455,AI
14,7,7,0.1246941430228097,0.873013973236084,AI
17,9,8,0.12486900223626031,1.1240079402923584,AI
18,9,9,0.12836827172173393,1.1555287837982178,AI
14,7,7,0.12914160319737025,0.9041421413421631,Opponent
22,11,11,0.13873223824934525,1.5263266563415527,AI
15,8,7,0.13818886876106262,1.1056711673736572,AI
14,7,7,0.15297320910862514,1.071084976196289,AI
21,11,10,0.1251577464017001,1.376974105834961,AI
16,8,8,0.1252533197402954,1.0022058486938477,AI
