total_moves,ai_moves,opponent_moves,avg_move_time,total_game_time,winner
28,14,14,0.19491522652762278,2.746159076690674,Opponent
7,3,4,0.21725916862487793,0.657081127166748,Opponent
28,14,14,0.18880503518240793,2.659991979598999,Opponent
7,3,4,0.2158843676249186,0.6529049873352051,Opponent
28,14,14,0.19669742243630545,2.7702507972717285,Opponent
7,3,4,0.215086301167806,0.6503078937530518,Opponent
28,14,14,0.19049031393868582,2.6836280822753906,Opponent
7,3,4,0.25771665573120117,0.778357982635498,Opponent
28,14,14,0.19137801442827498,2.6955199241638184,Opponent
7,3,4,0.2128596305847168,0.6437699794769287,Opponent
28,14,14,0.18664939062935965,2.6290152072906494,Opponent
7,3,4,0.2123436133066813,0.6420290470123291,Opponent
28,14,14,0.19446187359946115,2.7388901710510254,Opponent
7,3,4,0.21806907653808594,0.6592118740081787,Opponent
28,14,14,0.1876018728528704,2.6427230834960938,Opponent
7,3,4,0.21329633394877115,0.6451022624969482,Opponent
28,14,14,0.1876391683306013,2.642918825149536,Opponent
7,3,4,0.21581300099690756,0.652641773223877,Opponent
28,14,14,0.18567374774387904,2.6154680252075195,Opponent
7,3,4,0.21340632438659668,0.6453869342803955,Opponent
28,14,14,0.1859654528754098,2.6197280883789062,Opponent
7,3,4,0.2138063907623291,0.6464781761169434,Opponent
28,14,14,0.18795812129974365,2.6479909420013428,Opponent
7,3,4,0.21614980697631836,0.6536829471588135,Opponent
28,14,14,0.19357321943555558,2.726276159286499,Opponent
7,3,4,0.21521735191345215,0.6509361267089844,Opponent
28,14,14,0.18717563152313232,2.6365840435028076,Opponent
7,3,4,0.21233582496643066,0.6420459747314453,Opponent
28,14,14,0.19247591495513916,2.711071014404297,Opponent
7,3,4,0.21539902687072754,0.651353120803833,Opponent
28,14,14,0.18616182463509695,2.6229538917541504,Opponent
7,3,4,0.21355072657267252,0.645733118057251,Opponent
28,14,14,0.1859119279044015,2.619189977645874,Opponent
7,3,4,0.21585456530253092,0.6526551246643066,Opponent
28,14,14,0.1869699444089617,2.634037971496582,Opponent
7,3,4,0.21479304631551108,0.6494359970092773,Opponent
28,14,14,0.1870791060583932,2.635364055633545,Opponent
7,3,4,0.21644131342569986,0.6543622016906738,Opponent
28,14,14,0.18755766323634557,2.642449140548706,Opponent
7,3,4,0.21855934460957846,0.6609659194946289,Opponent
28,14,14,0.19524288177490234,2.7496399879455566,Opponent
7,3,4,0.21419405937194824,0.6476800441741943,Opponent
28,14,14,0.1869868380682809,2.6342880725860596,Opponent
7,3,4,0.218351682027181,0.6602661609649658,Opponent
28,14,14,0.24057963916233607,3.398282051086426,Opponent
7,3,4,0.27867595354715985,0.8414561748504639,Opponent
28,14,14,0.19645644937242782,2.766799211502075,Opponent
7,3,4,0.22611133257548013,0.6834261417388916,Opponent
28,14,14,0.19300569806780135,2.719180107116699,Opponent
7,3,4,0.22069001197814941,0.6671550273895264,Opponent
