total_moves,ai_moves,opponent_moves,avg_move_time,total_game_time,winner
11,6,5,0.2179941733678182,1.3111231327056885,AI
7,3,4,0.21556703249613443,0.6483228206634521,Opponent
11,6,5,0.20916986465454102,1.2571349143981934,AI
7,3,4,0.2332299550374349,0.701240062713623,Opponent
11,6,5,0.22074790795644125,1.3265488147735596,AI
7,3,4,0.24559815724690756,0.7383689880371094,Opponent
11,6,5,0.22840027014414468,1.372511863708496,AI
7,3,4,0.21401023864746094,0.6436548233032227,Opponent
11,6,5,0.21576285362243652,1.2967019081115723,AI
7,3,4,0.2211456298828125,0.6649589538574219,Opponent
11,6,5,0.22324919700622559,1.3415191173553467,AI
7,3,4,0.2232964833577474,0.6714770793914795,Opponent
11,6,5,0.20998839537302652,1.2620329856872559,AI
7,3,4,0.22607731819152832,0.6799380779266357,Opponent
11,6,5,0.23515105247497559,1.4130501747131348,AI
7,3,4,0.2309743563334147,0.6945490837097168,Opponent
11,6,5,0.2281113862991333,1.3709681034088135,AI
7,3,4,0.21891244252522787,0.6582159996032715,Opponent
11,6,5,0.21322715282440186,1.2813949584960938,AI
7,3,4,0.2111663023630778,0.6350338459014893,Opponent
11,6,5,0.21715637048085532,1.304960012435913,AI
7,3,4,0.2965962092081706,0.8914010524749756,Opponent
11,6,5,0.2132730484008789,1.2816362380981445,AI
7,3,4,0.22353601455688477,0.6722571849822998,Opponent
11,6,5,0.22757577896118164,1.3674569129943848,AI
7,3,4,0.25220831235249835,0.7581110000610352,Opponent
11,6,5,0.21191155910491943,1.273453712463379,AI
7,3,4,0.2167505423227946,0.651771068572998,Opponent
11,6,5,0.21026861667633057,1.2636559009552002,AI
7,3,4,0.21634499231974283,0.6505401134490967,Opponent
11,6,5,0.21369385719299316,1.284168004989624,AI
7,3,4,0.21958223978678384,0.660315990447998,Opponent
11,6,5,0.22974757353464761,1.3805608749389648,AI
7,3,4,0.24536927541097006,0.7376031875610352,Opponent
11,6,5,0.21460044384002686,1.2895889282226562,AI
7,3,4,0.22817707061767578,0.6860527992248535,Opponent
11,6,5,0.2495048443476359,1.499263048171997,AI
7,3,4,0.5746525923411051,1.7259118556976318,Opponent
11,6,5,0.2782324552536011,1.671497106552124,AI
7,3,4,0.23407975832621256,0.703761100769043,Opponent
11,6,5,0.3856157461802165,2.317288875579834,AI
7,3,4,0.39276671409606934,1.1807899475097656,Opponent
11,6,5,0.6219451427459717,3.7343602180480957,AI
7,3,4,0.40897250175476074,1.2287189960479736,Opponent
11,6,5,0.29613955815633136,1.7790038585662842,AI
7,3,4,0.25424424807230633,0.7642989158630371,Opponent
11,6,5,0.21580366293589273,1.2968530654907227,AI
7,3,4,0.23265767097473145,0.6995000839233398,Opponent
11,6,5,0.23906906445821127,1.43648099899292,AI
7,3,4,0.23264431953430176,0.699437141418457,Opponent
